mapping_id,colloquial_expression,mapped_standard_terms,mapped_issue,mapped_domain,source_node_ids,confidence,review_status,notes
mapping_a12e4913fb8f,Can a company send my data overseas?,"[""cross-border transfer of personal data""]",personal_data_protection,data protection,"[""companies_act_1967_c8232023ef_chunk_0011_ast"", ""companies_act_1967_c8232023ef_chunk_0012_ast"", ""companies_act_1967_c8232023ef_chunk_0024_ast"", ""companies_act_1967_c8232023ef_chunk_0025_ast"", ""companies_act_1967_c8232023ef_chunk_0031_ast"", ""companies_act_1967_c8232023ef_chunk_0039_ast"", ""companies_act_1967_c8232023ef_chunk_0040_ast"", ""companies_act_1967_c8232023ef_chunk_0042_ast"", ""companies_act_1967_c8232023ef_chunk_0081_ast"", ""companies_act_1967_c8232023ef_chunk_0109_ast"", ""companies_act_1967_c8232023ef_chunk_0110_ast"", ""companies_act_1967_c8232023ef_chunk_0132_ast"", ""companies_act_1967_c8232023ef_chunk_0133_ast"", ""companies_act_1967_c8232023ef_chunk_0134_ast"", ""companies_act_1967_c8232023ef_chunk_0139_ast"", ""companies_act_1967_c8232023ef_chunk_0140_ast"", ""companies_act_1967_c8232023ef_chunk_0144_ast"", ""companies_act_1967_c8232023ef_chunk_0145_ast"", ""companies_act_1967_c8232023ef_chunk_0155_ast"", ""companies_act_1967_c8232023ef_chunk_0156_ast"", ""companies_act_1967_c8232023ef_chunk_0231_ast"", ""companies_act_1967_c8232023ef_chunk_0244_ast"", ""companies_act_1967_c8232023ef_chunk_0291_ast"", ""companies_act_1967_c8232023ef_chunk_0333_ast"", ""companies_act_1967_c8232023ef_chunk_0334_ast"", ""companies_act_1967_c8232023ef_chunk_0336_ast"", ""companies_act_1967_c8232023ef_chunk_0371_ast"", ""companies_act_1967_c8232023ef_chunk_0374_ast"", ""companies_act_1967_c8232023ef_chunk_0383_ast"", ""companies_act_1967_c8232023ef_chunk_0388_ast"", ""companies_act_1967_c8232023ef_chunk_0389_ast"", ""companies_act_1967_c8232023ef_chunk_0390_ast"", ""companies_act_1967_c8232023ef_chunk_0392_ast"", ""companies_act_1967_c8232023ef_chunk_0393_ast"", ""companies_act_1967_c8232023ef_chunk_0394_ast"", ""companies_act_1967_c8232023ef_chunk_0395_ast"", ""companies_act_1967_c8232023ef_chunk_0396_ast"", ""companies_act_1967_c8232023ef_chunk_0397_ast"", ""companies_act_1967_c8232023ef_chunk_0398_ast"", ""companies_act_1967_c8232023ef_chunk_0399_ast""]",high,pending,"[""Seed colloquial expression mapped to AST-backed terms; pending review.""]"
mapping_5077085e45a8,Can an organisation share my information?,"[""disclosure of personal data""]",personal_data_protection,unknown,"[""companies_act_1967_c8232023ef_chunk_0001_ast"", ""companies_act_1967_c8232023ef_chunk_0002_ast"", ""companies_act_1967_c8232023ef_chunk_0003_ast"", ""companies_act_1967_c8232023ef_chunk_0004_ast"", ""companies_act_1967_c8232023ef_chunk_0005_ast"", ""companies_act_1967_c8232023ef_chunk_0006_ast"", ""companies_act_1967_c8232023ef_chunk_0007_ast"", ""companies_act_1967_c8232023ef_chunk_0008_ast"", ""companies_act_1967_c8232023ef_chunk_0009_ast"", ""companies_act_1967_c8232023ef_chunk_0010_ast"", ""companies_act_1967_c8232023ef_chunk_0011_ast"", ""companies_act_1967_c8232023ef_chunk_0012_ast"", ""companies_act_1967_c8232023ef_chunk_0013_ast"", ""companies_act_1967_c8232023ef_chunk_0014_ast"", ""companies_act_1967_c8232023ef_chunk_0015_ast"", ""companies_act_1967_c8232023ef_chunk_0016_ast"", ""companies_act_1967_c8232023ef_chunk_0017_ast"", ""companies_act_1967_c8232023ef_chunk_0019_ast"", ""companies_act_1967_c8232023ef_chunk_0020_ast"", ""companies_act_1967_c8232023ef_chunk_0021_ast"", ""companies_act_1967_c8232023ef_chunk_0022_ast"", ""companies_act_1967_c8232023ef_chunk_0023_ast"", ""companies_act_1967_c8232023ef_chunk_0024_ast"", ""companies_act_1967_c8232023ef_chunk_0025_ast"", ""companies_act_1967_c8232023ef_chunk_0026_ast"", ""companies_act_1967_c8232023ef_chunk_0027_ast"", ""companies_act_1967_c8232023ef_chunk_0028_ast"", ""companies_act_1967_c8232023ef_chunk_0029_ast"", ""companies_act_1967_c8232023ef_chunk_0030_ast"", ""companies_act_1967_c8232023ef_chunk_0031_ast"", ""companies_act_1967_c8232023ef_chunk_0032_ast"", ""companies_act_1967_c8232023ef_chunk_0033_ast"", ""companies_act_1967_c8232023ef_chunk_0034_ast"", ""companies_act_1967_c8232023ef_chunk_0035_ast"", ""companies_act_1967_c8232023ef_chunk_0036_ast"", ""companies_act_1967_c8232023ef_chunk_0037_ast"", ""companies_act_1967_c8232023ef_chunk_0038_ast"", ""companies_act_1967_c8232023ef_chunk_0039_ast"", ""companies_act_1967_c8232023ef_chunk_0040_ast"", ""companies_act_1967_c8232023ef_chunk_0041_ast""]",high,pending,"[""Seed colloquial expression mapped to AST-backed terms; pending review.""]"
mapping_32cdf88262a6,Do I need to agree before my data is used?,"[""consent requirement""]",consent_requirement,unknown,"[""companies_act_1967_c8232023ef_chunk_0003_ast"", ""companies_act_1967_c8232023ef_chunk_0004_ast"", ""companies_act_1967_c8232023ef_chunk_0006_ast"", ""companies_act_1967_c8232023ef_chunk_0015_ast"", ""companies_act_1967_c8232023ef_chunk_0017_ast"", ""companies_act_1967_c8232023ef_chunk_0019_ast"", ""companies_act_1967_c8232023ef_chunk_0021_ast"", ""companies_act_1967_c8232023ef_chunk_0022_ast"", ""companies_act_1967_c8232023ef_chunk_0045_ast"", ""companies_act_1967_c8232023ef_chunk_0074_ast"", ""companies_act_1967_c8232023ef_chunk_0085_ast"", ""companies_act_1967_c8232023ef_chunk_0091_ast"", ""companies_act_1967_c8232023ef_chunk_0092_ast"", ""companies_act_1967_c8232023ef_chunk_0093_ast"", ""companies_act_1967_c8232023ef_chunk_0101_ast"", ""companies_act_1967_c8232023ef_chunk_0102_ast"", ""companies_act_1967_c8232023ef_chunk_0103_ast"", ""companies_act_1967_c8232023ef_chunk_0108_ast"", ""companies_act_1967_c8232023ef_chunk_0109_ast"", ""companies_act_1967_c8232023ef_chunk_0126_ast"", ""companies_act_1967_c8232023ef_chunk_0127_ast"", ""companies_act_1967_c8232023ef_chunk_0129_ast"", ""companies_act_1967_c8232023ef_chunk_0131_ast"", ""companies_act_1967_c8232023ef_chunk_0135_ast"", ""companies_act_1967_c8232023ef_chunk_0138_ast"", ""companies_act_1967_c8232023ef_chunk_0150_ast"", ""companies_act_1967_c8232023ef_chunk_0170_ast"", ""companies_act_1967_c8232023ef_chunk_0171_ast"", ""companies_act_1967_c8232023ef_chunk_0189_ast"", ""companies_act_1967_c8232023ef_chunk_0191_ast"", ""companies_act_1967_c8232023ef_chunk_0196_ast"", ""companies_act_1967_c8232023ef_chunk_0202_ast"", ""companies_act_1967_c8232023ef_chunk_0208_ast"", ""companies_act_1967_c8232023ef_chunk_0212_ast"", ""companies_act_1967_c8232023ef_chunk_0223_ast"", ""companies_act_1967_c8232023ef_chunk_0224_ast"", ""companies_act_1967_c8232023ef_chunk_0225_ast"", ""companies_act_1967_c8232023ef_chunk_0256_ast"", ""companies_act_1967_c8232023ef_chunk_0258_ast"", ""companies_act_1967_c8232023ef_chunk_0294_ast""]",high,pending,"[""Seed colloquial expression mapped to AST-backed terms; pending review.""]"
mapping_8edca08cbfb9,What counts as personal data?,"[""definition of personal data""]",personal_data_protection,unknown,"[""companies_act_1967_c8232023ef_chunk_0001_ast"", ""companies_act_1967_c8232023ef_chunk_0002_ast"", ""companies_act_1967_c8232023ef_chunk_0003_ast"", ""companies_act_1967_c8232023ef_chunk_0004_ast"", ""companies_act_1967_c8232023ef_chunk_0005_ast"", ""companies_act_1967_c8232023ef_chunk_0006_ast"", ""companies_act_1967_c8232023ef_chunk_0007_ast"", ""companies_act_1967_c8232023ef_chunk_0008_ast"", ""companies_act_1967_c8232023ef_chunk_0009_ast"", ""companies_act_1967_c8232023ef_chunk_0010_ast"", ""companies_act_1967_c8232023ef_chunk_0011_ast"", ""companies_act_1967_c8232023ef_chunk_0012_ast"", ""companies_act_1967_c8232023ef_chunk_0013_ast"", ""companies_act_1967_c8232023ef_chunk_0014_ast"", ""companies_act_1967_c8232023ef_chunk_0015_ast"", ""companies_act_1967_c8232023ef_chunk_0016_ast"", ""companies_act_1967_c8232023ef_chunk_0017_ast"", ""companies_act_1967_c8232023ef_chunk_0019_ast"", ""companies_act_1967_c8232023ef_chunk_0020_ast"", ""companies_act_1967_c8232023ef_chunk_0021_ast"", ""companies_act_1967_c8232023ef_chunk_0022_ast"", ""companies_act_1967_c8232023ef_chunk_0023_ast"", ""companies_act_1967_c8232023ef_chunk_0024_ast"", ""companies_act_1967_c8232023ef_chunk_0025_ast"", ""companies_act_1967_c8232023ef_chunk_0026_ast"", ""companies_act_1967_c8232023ef_chunk_0027_ast"", ""companies_act_1967_c8232023ef_chunk_0028_ast"", ""companies_act_1967_c8232023ef_chunk_0029_ast"", ""companies_act_1967_c8232023ef_chunk_0030_ast"", ""companies_act_1967_c8232023ef_chunk_0031_ast"", ""companies_act_1967_c8232023ef_chunk_0032_ast"", ""companies_act_1967_c8232023ef_chunk_0033_ast"", ""companies_act_1967_c8232023ef_chunk_0034_ast"", ""companies_act_1967_c8232023ef_chunk_0035_ast"", ""companies_act_1967_c8232023ef_chunk_0036_ast"", ""companies_act_1967_c8232023ef_chunk_0037_ast"", ""companies_act_1967_c8232023ef_chunk_0038_ast"", ""companies_act_1967_c8232023ef_chunk_0039_ast"", ""companies_act_1967_c8232023ef_chunk_0040_ast"", ""companies_act_1967_c8232023ef_chunk_0041_ast""]",high,pending,"[""Seed colloquial expression mapped to AST-backed terms; pending review.""]"
mapping_a8305cf2ee3d,What cybersecurity duties does a network operator have?,"[""cybersecurity obligation""]",cybersecurity_obligation,unknown,"[""companies_act_1967_c8232023ef_chunk_0022_ast"", ""companies_act_1967_c8232023ef_chunk_0032_ast"", ""companies_act_1967_c8232023ef_chunk_0042_ast"", ""companies_act_1967_c8232023ef_chunk_0079_ast"", ""companies_act_1967_c8232023ef_chunk_0080_ast"", ""companies_act_1967_c8232023ef_chunk_0158_ast"", ""companies_act_1967_c8232023ef_chunk_0185_ast"", ""companies_act_1967_c8232023ef_chunk_0186_ast"", ""companies_act_1967_c8232023ef_chunk_0199_ast"", ""companies_act_1967_c8232023ef_chunk_0201_ast"", ""companies_act_1967_c8232023ef_chunk_0253_ast"", ""companies_act_1967_c8232023ef_chunk_0264_ast"", ""companies_act_1967_c8232023ef_chunk_0327_ast"", ""companies_act_1967_c8232023ef_chunk_0328_ast"", ""companies_act_1967_c8232023ef_chunk_0360_ast"", ""companies_act_1967_c8232023ef_chunk_0361_ast"", ""companies_act_1967_c8232023ef_chunk_0408_ast"", ""companies_act_1967_c8232023ef_chunk_0436_ast"", ""companies_act_1967_c8232023ef_chunk_0448_ast"", ""companies_act_1967_c8232023ef_chunk_0497_ast"", ""companies_act_1967_c8232023ef_chunk_0507_ast"", ""companies_act_1967_c8232023ef_chunk_0508_ast"", ""companies_act_1967_c8232023ef_chunk_0535_ast"", ""companies_act_1967_c8232023ef_chunk_0592_ast"", ""companies_act_1967_c8232023ef_chunk_0629_ast"", ""companies_act_1967_c8232023ef_chunk_0728_ast"", ""companies_act_1967_c8232023ef_chunk_0779_ast"", ""companies_act_1967_c8232023ef_chunk_0781_ast"", ""companies_act_1967_c8232023ef_chunk_0784_ast"", ""companies_act_1967_c8232023ef_chunk_0800_ast"", ""companies_act_1967_c8232023ef_chunk_0801_ast"", ""companies_act_1967_c8232023ef_chunk_0879_ast"", ""companies_act_1967_c8232023ef_chunk_0883_ast"", ""companies_act_1967_c8232023ef_chunk_0919_ast"", ""companies_act_1967_c8232023ef_chunk_0922_ast"", ""companies_act_1967_c8232023ef_chunk_0947_ast"", ""companies_act_1967_c8232023ef_chunk_0982_ast"", ""companies_act_1967_c8232023ef_chunk_0989_ast"", ""companies_act_1967_c8232023ef_chunk_1071_ast"", ""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0004_ast""]",high,pending,"[""Seed colloquial expression mapped to AST-backed terms; pending review.""]"
mapping_e04af610df0e,"What does (2) In sub-paragraph (1)(e), “ongoing relationship mean in this source?","[""(2) In sub-paragraph (1)(e), “ongoing relationship"", ""business""]",unknown,unknown,"[""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0138_ast""]",medium,pending,"[""Generated from AST possible_user_questions.""]"
mapping_2a9e9c6e0101,"What does (6) In this section, “applicable purpose mean in this source?","[""(6) In this section, “applicable purpose""]",unknown,unknown,"[""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0040_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_e69cfdc8ada6,What does Accounting Standards mean in this source?,"[""Accounting Standards""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0044_ast""]",medium,pending,"[""Generated from AST possible_user_questions.""]"
mapping_32a917fa681f,What does accounting transaction mean in this source?,"[""accounting transaction"", ""retain records"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0732_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_c624c5ccfcee,What does accounts mean in this source?,"[""accounts"", ""ACRA administered Act"", ""annual return"", ""approved exchange in Singapore"", ""audit requirements"", ""Authority""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0045_ast""]",medium,pending,"[""Generated from AST possible_user_questions.""]"
